"Reference","Value","Bauform","Qty","Hersteller"
"C1","1nF","1812","1","FENGHUA"
"C2","100nF","1812","1","MuRata"
"C3,C4","680pF","1206","2","FENGHUA"
"C5,C6","330pF","1206","2","FENGHUA"
"C7,C8","100pF","1206","2","FENGHUA"
"C9,C10","47pF","1206","2","FENGHUA"
"Con1,Con2,Con3","Rast2.5pro","","3",""
"Con4","Rast2.5","","1",""
"D1,D2,D3,D4","S3M","SMC","4","Vishay"
"D5,D6","GS1M","SMA","2","PANJIT"
"DC-Motor1","~","","1",""
"FB1,FB2","FerriteBead_Small","1206","2","Wuerth"
"Q1","BC847C","SOT-23","1","Infineon"
"Q2","T835H-8G","D2PAK","1","ST Microelectronis"
"R1,R2","3.3k","0402","2","Vishay"
"R3","47","1206","1","Vishay"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14","TestPoint_D1.0mm","D=1mm","14",""
